Type,word,Duration,ToHNeither,ToHObject,ToHSubject,ToHWeak,ToHStrict
SS,afflicted,3.404255319,0.15,0.1,0.75,0.882352941,0.75
SS,affronted,2.531914894,0.2,0.05,0.75,0.9375,0.75
SS,aggravated,2.893617021,0.2,0.05,0.75,0.9375,0.75
SS,agitated,2.595744681,0.25,0.05,0.7,0.933333333,0.7
SS,agonized,3.191489362,0.25,0.05,0.7,0.933333333,0.7
SS,alarmed,2.319148936,0.3,0.15,0.55,0.785714286,0.55
SS,alienated,5,0.2,0.15,0.65,0.8125,0.65
SS,amazed,2.574468085,0.4,0.1,0.5,0.833333333,0.5
SS,amused,2.744680851,0.2,0.1,0.7,0.875,0.7
SS,angered,2.914893617,0.15,0.05,0.8,0.941176471,0.8
SS,antagonized,3.489361702,0,0.1,0.9,0.9,0.9
SS,appalled,3.042553191,0.25,0.05,0.7,0.933333333,0.7
SS,appeased,2.85106383,0.1,0.15,0.75,0.833333333,0.75
SS,aroused,2.446808511,0.35,0.05,0.6,0.923076923,0.6
SS,assuaged,2.808510638,0.2,0.1,0.7,0.875,0.7
SS,astonished,2.319148936,0.35,0.1,0.55,0.846153846,0.55
SS,astounded,2.553191489,0.25,0.05,0.7,0.933333333,0.7
SS,awed,3.319148936,0.35,0.15,0.5,0.769230769,0.5
SS,baffled,2.744680851,0.3,0.1,0.6,0.857142857,0.6
SS,beguiled,3.319148936,0.25,0.1,0.65,0.866666667,0.65
SS,bewildered,2.872340426,0.35,0.15,0.5,0.769230769,0.5
SS,bewitched,3.531914894,0.3,0.1,0.6,0.857142857,0.6
SS,boggled,2.510638298,0.35,0.1,0.55,0.846153846,0.55
SS,bugged,3.255319149,0.1,0.05,0.85,0.944444444,0.85
SS,calmed,2.659574468,0.15,0.05,0.8,0.941176471,0.8
SS,captivated,3.127659574,0.35,0.15,0.5,0.769230769,0.5
SS,chagrined,2.638297872,0.2,0.1,0.7,0.875,0.7
SS,charmed,3.212765957,0.2,0.1,0.7,0.875,0.7
SS,cheered,2.808510638,0.15,0.1,0.75,0.882352941,0.75
SS,comforted,2.957446809,0.15,0.05,0.8,0.941176471,0.8
SS,confounded,2.808510638,0.35,0.05,0.6,0.923076923,0.6
SS,confused,2.659574468,0.3,0.1,0.6,0.857142857,0.6
SS,consoled,2.936170213,0.2,0.05,0.75,0.9375,0.75
SS,contented,3.510638298,0.35,0.1,0.55,0.846153846,0.55
SS,cowed,2.808510638,0.25,0.15,0.6,0.8,0.6
SS,daunted,3.319148936,0.3,0.05,0.65,0.928571429,0.65
SS,dazed,2.234042553,0.3,0.05,0.65,0.928571429,0.65
SS,dazzled,2.659574468,0.2,0.1,0.7,0.875,0.7
SS,dejected,3.191489362,0.25,0.1,0.65,0.866666667,0.65
SS,delighted,2.744680851,0.35,0.05,0.6,0.923076923,0.6
SS,demoralized,3.468085106,0.15,0.1,0.75,0.882352941,0.75
SS,depressed,4.14893617,0.2,0.15,0.65,0.8125,0.65
SS,disappointed,3.489361702,0.35,0.05,0.6,0.923076923,0.6
SS,discombobulated,2.382978723,0.3,0.1,0.6,0.857142857,0.6
SS,discomposed,2.787234043,0.25,0.05,0.7,0.933333333,0.7
SS,disconcerted,2.617021277,0.3,0.05,0.65,0.928571429,0.65
SS,disgraced,3.957446809,0.15,0.15,0.7,0.823529412,0.7
SS,disgruntled,2.744680851,0.3,0.1,0.6,0.857142857,0.6
SS,disgusted,3.361702128,0.2,0.15,0.65,0.8125,0.65
SS,disheartened,3.29787234,0.4,0.05,0.55,0.916666667,0.55
SS,disillusioned,3.531914894,0.1,0.15,0.75,0.833333333,0.75
SS,dismayed,2.680851064,0.3,0.15,0.55,0.785714286,0.55
SS,dispirited,3.063829787,0.3,0.05,0.65,0.928571429,0.65
SS,displeased,3.042553191,0.3,0.05,0.65,0.928571429,0.65
SS,disquieted,2.574468085,0.25,0.15,0.6,0.8,0.6
SS,dissatisfied,3.021276596,0.35,0.15,0.5,0.769230769,0.5
SS,distracted,2.021276596,0.25,0.1,0.65,0.866666667,0.65
SS,distressed,3.127659574,0.15,0.1,0.75,0.882352941,0.75
